CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE, LOWER, MEDIAN, UPPER 
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,White,Overall,4.3,1.7,2.58,0.97,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Black,Overall,11.6,3.6,7.68,2.18,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Hispanic/Latino,Overall,12.8,4.8,7.5,2.73,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,Overall,3.5,1.3,2.23,0.62,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,Overall,10.4,4.3,5.52,0.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Male,Overall,Overall,6.4,2.6,null,null,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Female,Overall,Overall,8.3,3,null,null,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,Influenza A,7.2,2.8,4.08,1.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,Influenza B,0,0,4.08,1.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,Overall,7.4,2.8,4.08,1.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Overall,Influenza A,11,3.7,6.47,2.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Overall,Influenza B,0,0,6.47,2.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Overall,Overall,11.2,3.8,6.47,2.4,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,White,Overall,6.8,2.5,4.38,1.8,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Black,Overall,16.5,4.9,11.08,3.39,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Hispanic/Latino,Overall,17.4,4.6,12.38,4.88,null,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Asian/Pacific Islander,Overall,4.9,1.3,3.59,1.37,null,null,null
