Burden,Season,Date,Low,High,,,,,,,,
Deaths,2024-2025,10/12/2024,"1,700","5,500",,,,,,,,
Hospitalizations,2024-2025,10/12/2024,"15,000","44,000",,,,,,,,
Outpatient visits,2024-2025,10/12/2024,"120,000","380,000",,,,,,,,
Illnesses,2024-2025,10/12/2024,"460,000","1,600,000",,,,,,,,
Deaths,2024-2025,10/19/2024,"3,000","5,000",,,,,,,,
Hospitalizations,2024-2025,10/19/2024,"25,000","40,000",,,,,,100 800,,
Outpatient visits,2024-2025,10/19/2024,"200,000","350,000",,,,,,,,
Illnesses,2024-2025,10/19/2024,"760,000","1,600,000",,,,,,64000.00,,
Deaths,2024-2025,11/30/2024,"7,500","13,000",,,,,,140400.00,,
Hospitalizations,2024-2025,11/30/2024,"64,000","110,000",,,,,,,,
Outpatient visits,2024-2025,11/30/2024,"540,000","940,000",,,,,,,,
Illnesses,2024-2025,11/30/2024,"2,200,000","4,000,000",,,,,,,,
Deaths,2024-2025,12/7/2024,"8,200","13,000",,,,,,,,
Hospitalizations,2024-2025,12/7/2024,"72,000","120,000",,,,,,,,
Outpatient visits,2024-2025,12/7/2024,"610,000","1,000,000",,,,,,,,
Illnesses,2024-2025,12/7/2024,"2,500,000","4,400,000",,,,,,,,
Deaths,2024-2025,12/14/2024,"8,900","15,000",,,,,,,,
Hospitalizations,2024-2025,12/14/2024,"78,000","130,000",,,,,,,,
Deaths,2024-2025,10/26/2024,"3,900","6,100",,,,,,,,
Hospitalizations,2024-2025,10/26/2024,"34,000","53,000",,,,,,,,
Outpatient visits,2024-2025,10/26/2024,"280,000","460,000",,,,,,,,
Illnesses,2024-2025,10/26/2024,"1,100,000","2,100,000",,,,,,,,
Deaths,2024-2025,11/2/2024,"4,500","7,100",,,,,,,,
Hospitalizations,2024-2025,11/2/2024,"39,000","61,000",,,,,,,,
Outpatient visits,2024-2025,11/2/2024,"330,000","540,000",,,,,,,,
Illnesses,2024-2025,11/2/2024,"1,200,000","2,400,000",,,,,,,,
Deaths,2024-2025,11/9/2024,"5,100","8,000",,,,,,,,
