"Burden","Season","Date","Low","High"
"Deaths","2024-2025","2024-11-30","690","1,700"
"Hospitalizations","2024-2025","2024-11-30","17,000","34,000"
"Outpatient visits","2024-2025","2024-11-30","330,000","700,000"
"Deaths","2024-2025","2024-12-07","980","2,300"
"Hospitalizations","2024-2025","2024-12-07","22,000","45,000"
"Outpatient visits","2024-2025","2024-12-07","470,000","950,000"
"Deaths","2024-2025","2024-12-14","1,300","3,100"
"Hospitalizations","2024-2025","2024-12-14","29,000","60,000"
"Outpatient visits","2024-2025","2024-12-14","590,000","1,200,000"
"Deaths","2024-2025","2025-01-04","3,100","7,700"
"Hospitalizations","2024-2025","2025-01-04","63,000","130,000"
"Outpatient visits","2024-2025","2025-01-04","1,300,000","2,700,000"
"Deaths","2024-2025","2025-01-11","3,900","9,500"
"Hospitalizations","2024-2025","2025-01-11","76,000","160,000"
"Outpatient visits","2024-2025","2025-01-11","1,500,000","3,100,000"
"Deaths","2024-2025","2025-01-18","4,600","11,000"
"Hospitalizations","2024-2025","2025-01-18","89,000","190,000"
"Outpatient visits","2024-2025","2025-01-18","1,700,000","3,600,000"
"Deaths","2024-2025","2025-01-25","5,200","13,000"
"Hospitalizations","2024-2025","2025-01-25","100,000","210,000"
"Outpatient visits","2024-2025","2025-01-25","1,900,000","4,000,000"
"Deaths","2024-2025","2025-02-01","5,700","14,000"
"Hospitalizations","2024-2025","2025-02-01","110,000","230,000"
"Outpatient visits","2024-2025","2025-02-01","2,100,000","4,300,000"
"Deaths","2024-2025","2025-02-08","6,300","15,000"
"Hospitalizations","2024-2025","2025-02-08","120,000","240,000"
"Outpatient visits","2024-2025","2025-02-08","2,300,000","4,600,000"
"Deaths","2024-2025","2025-02-15","7,000","16,000"
"Hospitalizations","2024-2025","2025-02-15","130,000","260,000"
"Outpatient visits","2024-2025","2025-02-15","2,500,000","4,900,000"
"Deaths","2024-2025","2025-02-22","7,700","18,000"
"Hospitalizations","2024-2025","2025-02-22","140,000","280,000"
"Outpatient visits","2024-2025","2025-02-22","2,800,000","5,400,000"
"Deaths","2024-2025","2025-03-01","8,300","19,000"
"Hospitalizations","2024-2025","2025-03-01","150,000","290,000"
"Outpatient visits","2024-2025","2025-03-01","2,900,000","5,600,000"
"Deaths","2024-2025","2025-03-08","8,600","20,000"
"Hospitalizations","2024-2025","2025-03-08","160,000","310,000"
"Outpatient visits","2024-2025","2025-03-08","3,000,000","5,900,000"
"Deaths","2024-2025","2025-03-15","9,100","21,000"
"Hospitalizations","2024-2025","2025-03-15","160,000","320,000"
"Outpatient visits","2024-2025","2025-03-15","3,200,000","6,100,000"
"Deaths","2024-2025","2025-03-22","9,300","21,000"
"Hospitalizations","2024-2025","2025-03-22","170,000","330,000"
"Outpatient visits","2024-2025","2025-03-22","3,300,000","6,200,000"
"Deaths","2024-2025","2025-03-29","9,400","21,000"
"Hospitalizations","2024-2025","2025-03-29","170,000","330,000"
"Outpatient visits","2024-2025","2025-03-29","3,300,000","6,200,000"
"Deaths","2024-2025","2025-04-05","9,800","22,000"
"Hospitalizations","2024-2025","2025-04-05","180,000","330,000"
"Outpatient visits","2024-2025","2025-04-05","3,400,000","6,300,000"
"Deaths","2024-2025","2025-04-12","10,000","22,000"
"Hospitalizations","2024-2025","2025-04-12","180,000","340,000"
"Outpatient visits","2024-2025","2025-04-12","3,500,000","6,500,000"
"Deaths","2024-2025","2025-04-19","10,000","23,000"
"Hospitalizations","2024-2025","2025-04-19","190,000","350,000"
"Outpatient visits","2024-2025","2025-04-19","3,500,000","6,500,000"
"Deaths","2024-2025","2025-04-26","10,000","23,000"
"Hospitalizations","2024-2025","2025-04-26","180,000","340,000"
"Outpatient visits","2024-2025","2025-04-26","3,600,000","6,500,000"
"Deaths","2024-2025","2025-05-03","10,000","23,000"
"Hospitalizations","2024-2025","2025-05-03","190,000","350,000"
"Outpatient visits","2024-2025","2025-05-03","3,600,000","6,500,000"
"Deaths","2024-2025","2024-10-12","10","140"
"Hospitalizations","2024-2025","2024-10-12","210","2,800"
"Outpatient visits","2024-2025","2024-10-12","2,900","46,000"
"Deaths","2024-2025","2024-10-19","20","370"
"Hospitalizations","2024-2025","2024-10-19","580","8,000"
"Outpatient visits","2024-2025","2024-10-19","10,000","130,000"
"Deaths","2024-2025","2024-10-26","100","290"
"Hospitalizations","2024-2025","2024-10-26","2,600","5,900"
"Outpatient visits","2024-2025","2024-10-26","48,000","110,000"
"Deaths","2024-2025","2024-11-02","170","460"
"Hospitalizations","2024-2025","2024-11-02","4,200","9,200"
"Outpatient visits","2024-2025","2024-11-02","83,000","180,000"
"Deaths","2024-2025","2024-11-09","250","640"
"Hospitalizations","2024-2025","2024-11-09","6,100","13,000"
"Outpatient visits","2024-2025","2024-11-09","120,000","260,000"
"Deaths","2024-2025","2024-11-16","350","920"
"Hospitalizations","2024-2025","2024-11-16","8,800","19,000"
"Outpatient visits","2024-2025","2024-11-16","170,000","380,000"
"Deaths","2024-2025","2024-11-23","530","1,300"
"Hospitalizations","2024-2025","2024-11-23","13,000","25,000"
"Outpatient visits","2024-2025","2024-11-23","260,000","520,000"
"Deaths","2024-2025","2025-09-27","11,000","24,000"
"Hospitalizations","2024-2025","2025-09-27","190,000","370,000"
"Outpatient visits","2024-2025","2025-09-27","3,600,000","6,800,000"
"Deaths","2025-2026","2026-01-31","2,800","8,800"
"Hospitalizations","2025-2026","2026-01-31","49,000","130,000"
"Outpatient visits","2025-2026","2026-01-31","830,000","2,300,000"
"Deaths","2025-2026","2026-02-07","3,400","10,000"
"Hospitalizations","2025-2026","2026-02-07","61,000","150,000"
"Outpatient visits","2025-2026","2026-02-07","1,000,000","2,600,000"
"Deaths","2025-2026","2026-02-14","4,000","12,000"
"Hospitalizations","2025-2026","2026-02-14","72,000","170,000"
"Outpatient visits","2025-2026","2026-02-14","1,200,000","2,900,000"
"Deaths","2025-2026","2026-02-21","4,700","13,000"
"Hospitalizations","2025-2026","2026-02-21","86,000","190,000"
"Outpatient visits","2025-2026","2026-02-21","1,500,000","3,300,000"
"Deaths","2025-2026","2026-02-28","5,300","15,000"
"Hospitalizations","2025-2026","2026-02-28","94,000","210,000"
"Outpatient visits","2025-2026","2026-02-28","1,600,000","3,700,000"
"Deaths","2025-2026","2026-03-07","5,800","16,000"
"Hospitalizations","2025-2026","2026-03-07","110,000","230,000"
"Outpatient visits","2025-2026","2026-03-07","1,800,000","4,000,000"
"Deaths","2025-2026","2026-03-14","6,600","17,000"
"Hospitalizations","2025-2026","2026-03-14","120,000","250,000"
"Outpatient visits","2025-2026","2026-03-14","2,000,000","4,400,000"
"Deaths","2025-2026","2026-03-21","7,200","19,000"
"Hospitalizations","2025-2026","2026-03-21","130,000","260,000"
"Outpatient visits","2025-2026","2026-03-21","2,200,000","4,600,000"
"Deaths","2025-2026","2026-03-28","7,900","20,000"
"Hospitalizations","2025-2026","2026-03-28","140,000","280,000"
"Outpatient visits","2025-2026","2026-03-28","2,300,000","4,900,000"
"Deaths","2025-2026","2026-04-04","8,400","21,000"
"Hospitalizations","2025-2026","2026-04-04","140,000","290,000"
"Outpatient visits","2025-2026","2026-04-04","2,400,000","5,100,000"
"Deaths","2025-2026","2026-04-11","8,600","22,000"
"Hospitalizations","2025-2026","2026-04-11","150,000","300,000"
"Outpatient visits","2025-2026","2026-04-11","2,500,000","5,200,000"
"Deaths","2025-2026","2026-04-18","8,900","23,000"
"Hospitalizations","2025-2026","2026-04-18","150,000","310,000"
"Outpatient visits","2025-2026","2026-04-18","2,600,000","5,400,000"
"Deaths","2025-2026","2026-04-25","9,200","23,000"
"Hospitalizations","2025-2026","2026-04-25","160,000","320,000"
"Outpatient visits","2025-2026","2026-04-25","2,700,000","5,500,000"
