"State","Season","Week ending date","Age Category","Sex","Race","Rate Type","Weekly Rate","Cumulative Rate"
"UT","2021-22","2022-10-01","All","All","All","Observed","3.6","396.8"
"UT","2021-22","2022-09-24","All","All","All","Observed","2.8","393.2"
"UT","2021-22","2022-09-17","All","All","All","Observed","4.1","390.4"
"UT","2021-22","2022-09-10","All","All","All","Observed","3.5","386.3"
"UT","2021-22","2022-09-03","All","All","All","Observed","3.4","382.8"
"UT","2021-22","2022-08-27","All","All","All","Observed","4.1","379.5"
"UT","2021-22","2022-08-20","All","All","All","Observed","4.1","375.3"
"UT","2021-22","2022-08-13","All","All","All","Observed","5.7","371.2"
"UT","2021-22","2022-08-06","All","All","All","Observed","5.8","365.5"
"UT","2021-22","2022-07-30","All","All","All","Observed","6.9","359.7"
"UT","2021-22","2022-07-23","All","All","All","Observed","7.6","352.7"
"UT","2021-22","2022-07-16","All","All","All","Observed","4.9","345.2"
"UT","2021-22","2022-07-09","All","All","All","Observed","7.8","340.3"
"UT","2021-22","2022-07-02","All","All","All","Observed","10.2","332.4"
"UT","2021-22","2022-06-25","All","All","All","Observed","7.4","322.2"
"UT","2021-22","2022-06-18","All","All","All","Observed","6.7","314.8"
"UT","2021-22","2022-06-11","All","All","All","Observed","7.3","308.2"
"UT","2021-22","2022-06-04","All","All","All","Observed","5.4","300.8"
"UT","2021-22","2022-05-28","All","All","All","Observed","5.1","295.4"
"UT","2021-22","2022-05-21","All","All","All","Observed","4.3","290.4"
"UT","2021-22","2022-05-14","All","All","All","Observed","3.0","286.1"
"UT","2021-22","2022-05-07","All","All","All","Observed","2.8","283.1"
"UT","2021-22","2022-04-30","All","All","All","Observed","2.5","280.3"
"UT","2021-22","2022-04-23","All","All","All","Observed","1.6","277.8"
"UT","2021-22","2022-04-16","All","All","All","Observed","1.2","276.2"
"UT","2021-22","2022-04-09","All","All","All","Observed","1.4","275.0"
"UT","2021-22","2022-04-02","All","All","All","Observed","1.3","273.6"
"UT","2021-22","2022-03-26","All","All","All","Observed","1.9","272.3"
"UT","2021-22","2022-03-19","All","All","All","Observed","2.4","270.4"
"UT","2021-22","2022-03-12","All","All","All","Observed","3.5","268.0"
"UT","2021-22","2022-03-05","All","All","All","Observed","4.6","264.5"
"UT","2021-22","2022-02-26","All","All","All","Observed","6.1","259.9"
"UT","2021-22","2022-02-19","All","All","All","Observed","7.3","253.9"
"UT","2021-22","2022-02-12","All","All","All","Observed","13.5","246.5"
"UT","2021-22","2022-02-05","All","All","All","Observed","16.8","233.1"
"UT","2021-22","2022-01-29","All","All","All","Observed","22.2","216.3"
"UT","2021-22","2022-01-22","All","All","All","Observed","28.9","194.1"
"UT","2021-22","2022-01-15","All","All","All","Observed","26.7","165.2"
"UT","2021-22","2022-01-08","All","All","All","Observed","20.6","138.5"
"UT","2021-22","2022-01-01","All","All","All","Observed","9.4","117.9"
"UT","2021-22","2021-12-25","All","All","All","Observed","6.9","108.5"
