Flu Season,Age Group,Population,Symptomatic Illnesses,Symptomatic Illnesses 95% UI Lower Bound,Symptomatic Illnesses 95% UI Upper Bound,Symptomatic Illness Rate,Symptomatic Illness Rate 95% UI Lower Bound,Symptomatic Illness Rate 95% UI Upper Bound,Medical Visits,Medical Visits 95% UI Lower Bound,Medical Visits 95% UI Upper Bound,Medical Visit Rate,Medical Visit Rate 95% UI Lower Bound,Medical Visit Rate 95% UI Upper Bound,Hospitalizations,Hospitalizations 95% UI Lower Bound,Hospitalizations 95% UI Upper Bound,Hospitalization Rate,Hospitalization Rate 95% UI Lower Bound,Hospitalization Rate 95% UI Upper Bound,Deaths,Deaths 95% UI Lower Bound,Deaths 95% UI Upper Bound,Death Rate,Death Rate 95% UI Lower Bound,Death Rate 95% UI Upper Bound
2010-2011,0-4 yrs,20201362,2927592,1777772,8567365,14492.1,8800.3,42409.8,1961487,1154396,5735412,9709.7,5714.4,28391.2,20410,12394,59728,101,61.4,295.7,211,0,566,1,0,2.8
2010-2011,5-17 yrs,53980105,5092191,2795517,16933661,9433.5,5178.8,31370.2,2647939,1394685,8742699,4905.4,2583.7,16196.2,13962,7665,46430,25.9,14.2,86,157,0,706,0.3,0,1.3
2010-2011,18-49 yrs,135515233,7806040,4334620,24195463,5760.3,3198.6,17854.4,2888235,1483815,9175119,2131.3,1094.9,6770.5,43815,24330,135809,32.3,18,100.2,5415,3213,9960,4,2.4,7.3
2010-2011,50-64 yrs,58780854,5005737,2367277,22360953,8515.9,4027.3,38041.2,2152467,951081,9699557,3661.9,1618,16501.2,53084,25104,237132,90.3,42.7,403.4,6054,3597,11314,10.3,6.1,19.2
2010-2011,65+ yrs,40267984,1914170,789715,10238745,4753.6,1961.1,25426.5,1071935,419999,5786391,2662,1043,14369.7,174015,71792,930795,432.1,178.3,2311.5,25819,10370,135046,64.1,25.8,335.4
2010-2011,All Ages,308745538,22745731,17405903,54641974,7367.1,5637.6,17698.1,10722063,8193456,25341273,3472.8,2653.8,8207.8,305287,202614,1135689,98.9,65.6,367.8,37656,21935,148537,12.2,7.1,48.1
2011-2012,0-4 yrs,20162058,962205,562527,3085150,4772.4,2790,15301.8,644677,361005,2071549,3197.5,1790.5,10274.5,6708,3922,21508,33.3,19.5,106.7,0,0,0,0,0,0
2011-2012,5-17 yrs,53772214,1886747,1042124,8054040,3508.8,1938,14978.1,981108,520181,4233989,1824.6,967.4,7873.9,5173,2857,22083,9.6,5.3,41.1,0,0,0,0,0,0
2011-2012,18-49 yrs,135641166,3640403,1585682,27908222,2683.8,1169,20575,1346949,548639,10381608,993,404.5,7653.7,20434,8900,156649,15.1,6.6,115.5,765,214,1910,0.6,0.2,1.4
2011-2012,50-64 yrs,60622338,1980634,772342,26201048,3267.2,1274,43220.1,851672,317604,11330116,1404.9,523.9,18689.7,21004,8190,277855,34.6,13.5,458.3,2335,1304,3938,3.9,2.2,6.5
